"TF1_effect_mean","TF2_effect_mean","Interaction_score_mean","num_TG","TF1_effect_sigma","TF2_effect_sigma","Interaction_score_sigma","TF_id","TF1_CoV","TF2_CoV","Interaction_CoV","TF1","TF2"
0.00630046841529869,0.0488618176674563,0.00161960229625757,54,0.00990453458327098,0.0625431024683064,0.000725262726172144,"RUNX1_SOX10",1.57203146344182,1.27999950583014,0.447802974747575,"RUNX1","SOX10"
0.00659190311479532,0.0755659362404319,0.00214121814933268,4,0.00987521006525463,0.0728103367584651,0.000779714414085562,"RUNX1_NKX6.2",1.49808179721119,0.963533840523074,0.364145248034892,"RUNX1","NKX6.2"
0.00859518404719831,0.0226781282244277,0.00120488153858193,20,0.0154906742067665,0.0316247005458966,0.000572167860022412,"RUNX1_ZNF24",1.80225043718708,1.39450223726278,0.47487478370348,"RUNX1","ZNF24"
0.00548776400212435,0.0132066551562347,0.000781156645199743,15,0.00482731766913527,0.025271279707029,0.000259916475784499,"RUNX1_NKX2.2",0.879651105125255,1.9135261281581,0.332732848631196,"RUNX1","NKX2.2"
0.0225939946828566,0.0335751521667398,0.00527558911480735,100,0.0259265529179417,0.0454651069418523,0.00219321100675626,"CREB1_SOX10",1.14749752232233,1.35412958714424,0.415728169693963,"CREB1","SOX10"
0.00514802897484029,0.0366212488711334,0.00144325663992953,71,0.00736868027698779,0.0459024670766089,0.000631092612173265,"HLF_SOX10",1.43135951895383,1.25343805827418,0.437269848420083,"HLF","SOX10"
0.0314078414456621,0.0363746447073059,0.00672108518337453,93,0.03852258449432,0.0530100598168934,0.0032863288425743,"IRF2_SOX10",1.22652760333648,1.45733546659897,0.488958070447233,"IRF2","SOX10"
0.0347946868005837,0.0163852596877958,0.00462917053035162,42,0.0374146485321168,0.0219668802036805,0.00172954480804507,"IRF2_TCF7L2",1.07529775297443,1.34064888944312,0.373618728604862,"IRF2","TCF7L2"
0.0244444108811791,0.110579949710094,0.0123376108997426,18,0.0289524709402847,0.0854896126308743,0.00416866916195397,"IRF2_NKX6.2",1.18442089199935,0.773102292549431,0.337883014453061,"IRF2","NKX6.2"
0.0315891046259883,0.0185467831157451,0.00414887366203493,36,0.0407206620543186,0.0288908377731662,0.00166039476415609,"IRF2_ZNF24",1.28907300591286,1.55772769826804,0.400203741885383,"IRF2","ZNF24"
0.0360834597608009,0.0387957332849415,0.00634491085169743,56,0.0375101148428555,0.043169204064011,0.00263134558089809,"IRF2_SOX2",1.0395376466534,1.1127307156936,0.414717502326157,"IRF2","SOX2"
0.0460669015074668,0.162846112424448,0.0158663241051274,11,0.066764149228783,0.144863242321985,0.00520808132127024,"IRF2_MYRF",1.44928673394631,0.889571388381742,0.32824750627571,"IRF2","MYRF"
0.0934613506053967,0.0332538408727621,0.0130909231425218,144,0.0850260934876985,0.0425353170231374,0.004809414267183,"MEF2A_SOX10",0.90974603873089,1.27910989848928,0.367385417729717,"MEF2A","SOX10"
0.104451039159267,0.0165008705793695,0.00768185550328525,52,0.0930808216629086,0.021938765018831,0.00279025529098236,"MEF2A_TCF7L2",0.891143088782285,1.329551972019,0.363226734711304,"MEF2A","TCF7L2"
0.0883725265413382,0.0892122796205384,0.0305778017605789,26,0.0764364010740014,0.092931252470368,0.0128958100475691,"MEF2A_NKX6.2",0.864933979659918,1.04168678197271,0.421737643161597,"MEF2A","NKX6.2"
0.0869334167916287,0.00946185535744315,0.00682916412275218,10,0.0952478304574709,0.00844042463260377,0.00329482328318994,"MEF2A_OLIG2",1.09564116967554,0.892047522789928,0.482463625703889,"MEF2A","OLIG2"
0.0961248058634792,0.0195895204625915,0.00821648550098497,84,0.0934850420489859,0.0306046234118673,0.00292642113322823,"MEF2A_SOX8",0.972538162331975,1.56229569122482,0.356164583127107,"MEF2A","SOX8"
0.115102118342094,0.00974839674009915,0.00490165744403825,43,0.102553092761685,0.0158323624869517,0.00191435255326349,"MEF2A_NKX2.2",0.890974851191601,1.62409911178797,0.390552088782104,"MEF2A","NKX2.2"
0.102416765528647,0.0345190925436925,0.0123282658477764,74,0.0977512590824882,0.0417610073751438,0.00465644067537936,"MEF2A_SOX2",0.954445872000776,1.20979447308138,0.377704434092751,"MEF2A","SOX2"
0.00810916903849064,0.0346548859594862,0.0022863511123725,269,0.010545596218721,0.0491026990741944,0.000965998048994989,"MZF1_SOX10",1.30045337181476,1.41690551605331,0.422506431215891,"MZF1","SOX10"
0.00902364288155196,0.0161635838400635,0.00148969161890749,106,0.0124355283548981,0.0205021786478165,0.000678794211562618,"MZF1_TCF7L2",1.37810510878278,1.26841787382568,0.455660891789423,"MZF1","TCF7L2"
0.00839124343038423,0.0210662067487383,0.00161282066190781,148,0.0109142730270271,0.0320601602900959,0.00076202334560057,"MZF1_SOX8",1.30067410361462,1.52187627665888,0.472478660274089,"MZF1","SOX8"
0.00819625989721882,0.0108386269079039,0.00101882432916093,80,0.0110275868441682,0.0180659179453284,0.00043323534231604,"MZF1_NKX2.2",1.34544133329765,1.66680872944838,0.425230660395436,"MZF1","NKX2.2"
0.0313549757403729,0.0400695886458902,0.00618587406864757,120,0.0400698509150357,0.0509027291712575,0.00261859510673935,"MAX_SOX10",1.27794233511211,1.27035816666609,0.423318528259638,"MAX","SOX10"
0.0289254197911509,0.0796454802137836,0.0130320950993722,24,0.0342497341322945,0.0647777446980231,0.00527632644094407,"MAX_NKX6.2",1.18407042592939,0.813326060991124,0.404871695664517,"MAX","NKX6.2"
