TFAP2E,MTF1,ZNF684,NFYC,JUN,NFIA,MEF2D,ATF6,PBX1,POU2F1,ZNF281,SOX13,ELK4,PROX1,ZBTB18,ZNF692,E2F6,REL,MEIS1,POU3F3,NR4A2,SP3,ATF2,NFE2L2,STAT1,KLF7,CREB1,HES6,NR2C2,SATB1,NR1D2,THRB,MITF,FOXP1,ZNF148,KLF15,ZIC4,ZIC1,SOX2,ETV5,BCL6,RBPJ,KLF3,CLOCK,REST,NFKB1,ELF2,NR3C2,IRF2,MEF2C,SMAD5,NR3C1,ZNF354A,ZNF354C,PBX2,RXRB,ZNF76,PPARD,NFYA,TFEB,RUNX2,BACH2,POU3F2,FOXO3,HSF2,HEY2,FOXK1,SP4,POU6F2,ZNF680,ZKSCAN5,ZKSCAN1,CUX1,FOXP2,NRF1,ZNF282,HMBOX1,PLAG1,MYBL1,TRPS1,HSF1,RFX3,GLIS3,NFIB,KLF9,RORB,MSANTD3,ZNF189,ZBTB26,NR6A1,PBX3,ZNF143,TEAD1,MYRF,ESRRA,RELA,HINFP,PKNOX2,ETS1,ZEB1,CREM,MXI1,TCF7L2,NKX6.2,ZNF384,ETV6,BHLHE41,TFCP2,POU6F1,ZNF740,SP1,ATF7,NR2C1,ELK3,NFYB,PRDM4,CUX2,ZNF140,ELF1,KLF12,TFDP1,HIF1A,MAX,ZNF410,FOXN3,YY1,KLF13,MEIS2,MGA,RFX7,TCF12,RORA,ARNT2,MEF2A,SOX8,ZNF263,MAZ,HSF4,E2F4,CTCF,NFATC3,MNT,SREBF1,THRA,STAT3,MLX,SP2,ZNF652,HLF,VEZF1,MAFG,FOXK2,ZNF24,SMAD2,TCF4,SOX12,ZNF343,NKX2.2,ZNF341,TCFL5,TCF3,NFIC,ZBTB7A,RFX2,ZNF317,ZNF136,NFIX,RFX1,JUND,ZNF682,ZNF708,ZNF675,USF2,ZFP14,ZNF382,ERF,IRF3,ZNF610,ZNF528,ZNF701,ZNF320,ZNF331,ZNF582,ZNF667,ZNF460,ZNF549,ZNF211,ZNF417,ZNF418,ZNF135,ZNF274,ZNF324,MZF1,PATZ1,SOX10,ATF4,TEF,SREBF2,GABPA,BACH1,OLIG2,OLIG1,RUNX1,PKNOX1,dummy1,dummy2
6,2,1,3,2,212,3,10,62,52,9,2,2,10,3,5,0,3,10,12,2,9,7,56,2,13,9,2,20,0,11,2,32,52,34,5,2,25,9,1,3,77,8,11,2,16,62,9,8,2,13,51,2,1,2,2,3,11,3,20,1,51,3,23,2,4,14,5,1,2,2,47,18,1,11,2,15,0,3,50,4,22,1,24,4,4,1,7,3,6,13,0,6,84,1,5,3,1,1,0,2,67,8,47,3,3,5,22,2,1,3,0,6,2,1,4,1,0,22,0,2,3,8,0,28,5,14,91,15,13,368,19,26,29,6,0,7,4,0,5,10,1,14,4,22,0,2,35,1,11,2,15,7,4,149,2,0,3,0,7,3,6,5,2,2,3,54,1,17,4,22,1,4,7,2,0,0,0,2,0,1,4,1,4,2,1,1,0,2,7,3,2,2,1,26,5,6,39,4,4,7,15,4,3,0,0
3,3,2,4,2,169,6,16,91,12,12,3,2,7,2,5,2,1,10,9,0,10,12,12,3,13,9,3,14,0,6,2,26,79,15,4,3,8,15,2,10,57,10,8,3,9,107,6,11,3,18,23,1,0,3,4,3,7,1,17,3,53,4,14,2,4,9,7,1,6,2,30,21,0,11,2,14,1,4,12,7,28,0,61,7,5,0,5,2,3,17,2,9,86,1,5,2,1,0,1,3,56,10,23,2,3,5,19,5,2,2,1,5,0,5,1,1,3,30,1,1,2,6,0,15,7,19,53,20,14,414,10,15,13,9,2,3,4,2,5,18,1,8,9,8,0,2,94,1,10,2,14,17,17,183,1,0,4,4,6,3,9,21,2,1,2,58,1,29,1,22,1,5,11,2,0,2,0,2,4,0,5,0,4,2,3,0,0,0,4,4,1,5,1,16,6,3,39,9,10,3,12,2,8,0,0
4,3,2,7,3,168,4,11,39,28,5,1,3,14,3,5,2,2,10,11,2,5,10,41,3,20,3,2,23,0,21,1,45,59,22,5,1,37,14,2,10,67,8,8,7,14,65,12,8,3,7,28,2,3,4,0,6,6,3,21,4,53,2,22,2,5,12,4,0,6,1,58,48,2,47,1,10,1,1,21,4,20,1,30,4,5,2,5,2,9,11,2,7,105,0,2,3,0,1,0,5,32,4,40,2,3,4,14,4,0,3,0,8,0,2,3,1,1,25,1,1,7,5,0,23,14,17,45,12,19,527,18,14,49,9,2,3,2,2,10,6,0,10,6,13,1,3,37,0,16,1,10,9,13,193,0,0,3,2,4,1,16,13,2,2,2,88,2,17,2,20,2,3,7,3,0,2,1,2,3,0,6,3,6,2,2,0,0,1,5,2,2,2,3,10,3,4,45,6,3,3,14,3,5,0,0
5,3,3,5,4,211,10,31,23,34,12,2,5,7,3,6,2,3,10,6,2,8,7,22,3,21,8,0,9,0,16,0,22,69,22,12,1,19,8,4,24,74,14,8,3,25,142,10,16,1,18,25,2,1,0,1,3,4,2,37,4,98,4,31,2,6,17,7,1,5,1,36,40,0,25,2,20,1,4,16,4,14,1,64,13,4,1,3,2,10,13,5,12,99,1,7,2,2,4,0,6,34,15,35,1,7,5,13,2,1,4,0,5,0,3,3,1,3,43,2,1,5,8,0,18,13,17,59,45,10,334,9,18,45,9,4,3,1,3,5,20,3,12,18,43,1,2,79,0,9,4,26,14,15,253,0,0,4,1,4,3,12,6,7,1,0,72,1,19,2,36,2,5,5,3,0,0,2,1,5,1,5,3,4,2,3,0,0,2,6,4,3,3,3,23,9,1,45,4,7,3,4,3,8,0,0
3,4,4,4,2,206,7,13,46,31,8,2,6,26,4,4,3,4,22,12,3,9,17,51,2,25,13,3,28,0,10,3,36,155,25,5,2,22,7,6,10,101,18,17,4,18,127,15,18,4,9,35,3,1,2,1,4,12,4,30,5,89,2,57,2,1,8,8,2,7,2,72,48,1,25,3,17,3,3,39,4,25,1,82,6,6,0,10,3,13,10,3,13,183,1,4,4,0,3,1,4,53,13,70,1,5,7,20,8,2,3,0,7,1,3,2,0,1,33,2,1,6,8,0,24,10,35,37,20,9,591,15,15,38,17,2,2,4,1,9,26,1,15,7,17,1,2,131,3,20,1,25,19,17,256,2,0,4,1,7,3,24,16,1,1,3,53,3,20,4,42,2,5,20,3,0,6,3,6,5,0,5,5,6,1,4,3,0,1,10,6,2,3,3,30,4,4,63,4,8,7,30,2,6,0,0
2,4,3,4,3,252,3,11,49,23,14,1,3,17,2,4,3,3,12,10,4,7,9,47,3,13,16,1,12,0,11,2,46,127,31,6,0,18,13,5,12,113,11,8,3,14,65,18,16,4,13,28,2,1,0,2,4,11,1,24,2,98,4,54,3,5,12,2,0,6,2,71,49,0,19,2,13,3,3,15,3,32,0,50,7,6,0,8,3,12,15,2,12,75,1,5,3,0,2,3,3,72,5,61,3,8,4,14,7,2,4,0,7,0,2,3,0,2,18,2,2,6,8,0,23,6,19,41,26,14,433,18,14,25,15,3,2,1,2,11,12,2,15,14,14,5,3,69,1,11,2,12,22,9,217,3,0,7,5,4,0,11,7,3,1,2,73,1,28,6,33,3,3,12,3,0,3,2,3,2,0,5,2,5,1,2,1,0,1,8,6,2,6,2,21,5,5,50,4,5,5,24,6,14,0,0
5,2,1,3,2,199,4,14,56,16,10,1,3,12,2,6,3,3,14,7,0,5,8,38,0,8,9,2,15,0,27,1,17,78,16,5,1,8,14,0,14,90,8,7,5,11,72,11,11,2,15,23,2,0,1,2,4,3,1,26,4,77,1,34,0,4,6,6,1,3,1,52,25,0,13,1,18,3,1,61,2,37,0,38,7,5,0,6,4,9,12,1,8,81,1,5,1,1,2,1,2,52,2,43,2,3,1,31,3,1,6,0,6,1,3,1,0,2,9,0,1,2,6,0,18,7,21,59,19,17,386,30,19,28,11,1,2,3,2,12,16,1,19,12,8,2,3,61,1,12,2,7,7,9,181,2,0,2,2,7,1,14,6,3,1,1,60,1,25,4,27,2,3,9,1,0,5,0,2,1,0,8,2,3,1,2,1,0,2,4,5,1,6,1,28,3,5,34,3,8,4,14,3,9,0,0
3,3,2,3,1,123,12,7,39,33,10,2,2,18,1,4,2,2,11,7,1,6,7,19,3,16,7,2,15,0,10,1,17,72,30,4,1,16,14,2,11,120,7,12,2,17,86,12,17,2,8,24,2,5,1,0,2,14,1,24,3,47,3,53,3,6,17,6,1,2,1,48,20,1,13,1,6,1,0,15,3,25,0,29,8,5,0,4,2,9,7,3,8,95,1,3,1,1,1,1,4,29,4,36,1,5,2,21,9,1,4,0,4,0,3,3,2,0,15,0,0,3,6,0,14,3,18,28,14,19,427,9,25,17,12,0,3,3,3,4,10,1,12,10,10,0,0,35,1,13,2,14,8,7,161,1,0,4,3,6,1,15,15,2,1,3,61,2,21,2,28,3,3,5,2,0,1,2,2,1,0,5,1,1,1,1,1,0,1,6,7,3,4,2,21,3,4,65,5,8,3,15,1,13,0,0
5,3,2,2,2,167,6,11,31,32,11,3,3,12,2,5,1,3,16,9,0,7,8,25,3,10,13,1,12,0,10,1,22,123,10,4,1,16,16,0,24,72,8,5,3,26,117,8,12,2,6,21,2,1,0,2,5,7,5,30,3,44,2,35,1,4,10,6,0,6,1,23,58,0,21,2,13,2,2,17,6,26,0,36,7,3,2,3,1,5,13,3,10,95,0,3,2,1,1,3,2,43,10,30,2,4,4,15,4,1,3,0,3,0,2,1,0,1,27,1,1,6,6,0,17,8,14,31,15,11,368,6,12,15,8,1,7,3,2,7,16,2,13,20,15,0,2,89,1,13,3,17,10,12,178,4,0,5,4,4,3,16,11,3,2,1,79,1,19,4,23,2,2,7,2,0,2,0,2,1,0,5,4,5,2,1,0,0,2,4,2,2,5,3,17,2,3,34,5,6,6,8,5,12,0,0
2,1,2,2,1,130,6,12,61,40,7,2,3,15,3,5,2,2,23,9,2,6,20,31,2,5,10,1,13,0,13,3,24,95,7,6,0,16,21,1,9,96,5,5,3,14,135,14,18,3,6,39,1,2,1,0,2,6,1,25,2,129,5,27,6,3,14,8,0,8,3,28,44,0,22,3,23,0,1,20,3,31,1,33,7,5,0,9,1,8,15,5,18,100,1,2,1,2,0,1,6,57,6,25,2,4,4,23,4,0,6,0,3,0,2,2,0,5,17,1,2,7,9,0,10,10,6,25,12,18,404,15,13,45,11,1,2,1,2,6,14,2,9,14,16,1,2,59,1,8,3,16,11,15,229,3,0,4,1,10,2,24,15,1,2,2,53,3,16,3,16,2,4,10,1,0,1,2,0,3,0,5,2,3,1,1,0,0,2,6,4,1,4,1,25,1,3,36,5,5,5,10,1,15,0,0
