"TF1_effect_mean","TF2_effect_mean","Interaction_score_mean","num_TG","TF1_effect_sigma","TF2_effect_sigma","Interaction_score_sigma","TF_id","TF1_CoV","TF2_CoV","Interaction_CoV","TF1","TF2","rank","percentile"
0.192767952524286,0.322567194093402,0.118395239517149,55,0.115714690031912,0.186347817212861,0.032202811286004,"RBPJ_TCF12",0.6002797068529,0.577702322570665,0.27199413943784,"RBPJ","TCF12",1,99.9868524848804
0.217824232135625,0.406121564659663,0.113094291719838,15,0.127641749756903,0.227454148481949,0.0380918011562145,"ELF2_TCF12",0.585985078452747,0.560064198197797,0.336814533934012,"ELF2","TCF12",2,99.9737049697607
0.252041035212214,0.189237538094997,0.103536556787451,76,0.157930490630563,0.120097505097762,0.0328753021058518,"TCF4_RBPJ",0.626606260752689,0.634638911004399,0.317523617994572,"TCF4","RBPJ",3,99.9605574546411
0.344058172577894,0.163457235102591,0.102560392488068,52,0.168595313989877,0.119598185848551,0.0353994555684396,"TCF12_ZNF708",0.490019791498217,0.731678752387361,0.345157177246156,"TCF12","ZNF708",4,99.9474099395214
0.28832497850262,0.191766731300344,0.100090336378505,29,0.177619401347471,0.115388944389291,0.0327760279009983,"TCF4_ELF2",0.616038895658349,0.601715133833978,0.327464459476402,"TCF4","ELF2",5,99.9342624244018
0.287847867846543,0.173331385912386,0.0893089168257818,63,0.168269238116255,0.124435423619145,0.0264995532399089,"TCF4_ZNF708",0.584576982887233,0.717904740472356,0.296717888669533,"TCF4","ZNF708",6,99.9211149092822
0.138860151057317,0.356945066729366,0.0864538606842899,39,0.110988192828743,0.176842230636059,0.0243666124862439,"NFIX_TCF12",0.799280369376315,0.49543262288631,0.281845279012181,"NFIX","TCF12",7,99.9079673941625
0.147532002004208,0.271607188871037,0.0839349080231336,111,0.115963292329116,0.172518635568872,0.0274316192974244,"FOXP1_TCF4",0.786021275070939,0.63517698587421,0.326820150799044,"FOXP1","TCF4",8,99.8948198790429
0.189398216948249,0.159115898250903,0.0838132632241017,31,0.148004417538676,0.114704091212261,0.0287455631116784,"NFIA_RBPJ",0.781445675273258,0.72088391212416,0.342971529873713,"NFIA","RBPJ",9,99.8816723639232
0.226066426319656,0.141772510430481,0.0780786141085437,26,0.183372111887111,0.0917619979257065,0.0239114668162923,"NFIA_ZNF708",0.811142613577765,0.647248169952544,0.306248607116041,"NFIA","ZNF708",10,99.8685248488036
0.203363283793394,0.167620288398042,0.0778644988023662,32,0.123378798381263,0.10569240390072,0.0205498197631554,"RBPJ_ELF2",0.606691611582201,0.630546605729109,0.263917704207079,"RBPJ","ELF2",11,99.8553773336839
0.22905888700786,0.143689269586268,0.0759589986505863,44,0.158433446957148,0.102602266084236,0.0218156043182893,"NFIA_FOXP1",0.691671251121163,0.714056563720204,0.287202368459882,"NFIA","FOXP1",12,99.8422298185643
0.264720111771041,0.123839869754264,0.0731188308119352,65,0.155026328842461,0.101678018514189,0.0228321761881377,"TCF4_NFIX",0.585623539538789,0.821044294668184,0.31226123195081,"TCF4","NFIX",13,99.8290823034447
0.182803367566782,0.166658690029815,0.0724533285611622,60,0.121874364255266,0.128997275625844,0.0226181868133397,"RBPJ_ZNF708",0.666696494038837,0.774020698247219,0.312175951919812,"RBPJ","ZNF708",14,99.815934788325
0.0933377102834142,0.330094697894434,0.0723280072411909,58,0.0792482868394154,0.1894294261646,0.0221736770531763,"BACH2_TCF12",0.849048970654871,0.573863886251152,0.306571104319716,"BACH2","TCF12",15,99.8027872732054
0.160674567201548,0.184451950896922,0.0686170496299158,109,0.126782225002365,0.129519502865522,0.0215306021051295,"FOXP1_RBPJ",0.789062184579168,0.70218559487019,0.313779187844046,"FOXP1","RBPJ",16,99.7896397580857
0.273072600617153,0.0929411364817727,0.066634258865344,67,0.176746493580147,0.0849878577316398,0.025967029319679,"TCF4_BACH2",0.647250925873537,0.91442671080644,0.389694877107491,"TCF4","BACH2",17,99.7764922429661
0.353138066321417,0.103721497164051,0.0660102629558916,58,0.191254969057996,0.0865209321828825,0.0184024060490982,"TCF12_MEF2A",0.541586952237317,0.83416586289761,0.278780983820573,"TCF12","MEF2A",18,99.7633447278464
